Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Абельцев;Сергей;Николаевич;6/05/1961;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по безопасности;26/03/2008;http://www.abeltsev.ru/
Абрамов;Виктор;Семенович;18/08/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по финансовому рынку;02/12/2007;
Аксаков;Анатолий;Геннадьевич;28/11/1957;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по финансовому рынку;02/12/2007;http://www.duma.gov.ru/aksakov/
Алферов;Жорес;Иванович;15/03/1930;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по науке и наукоемким технологиям;02/12/2007;
Амирилаев;Адам;Баширович;20/05/1963;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Андреев;Андрей;Анатольевич;24/05/1976;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Аникеев;Григорий;Викторович;28/02/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по труду и социальной политике;02/12/2007;
Антонов;Виктор;Васильевич;7/06/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам национальностей;02/12/2007;
Антонов;Роман;Валерьевич;24/01/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Апарина;Алевтина;Викторовна;20/04/1941;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по труду и социальной политике;02/12/2007;
Аршба;Отари;Ионович;12/04/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Асеев;Владимир;Михайлович;19/06/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;http://www.duma.gov.ru/aseev/
Афанасьева;Елена;Владимировна;27/03/1975;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Афонин;Юрий;Вячеславович;22/03/1977;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по делам молодежи;02/12/2007;
Ахметов;Спартак;Галеевич;8/06/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Бабаков;Александр;Михайлович;8/02/1963;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель Председателя ГД | Член Комитета ГД по энергетике;02/12/2007;
Бабич;Михаил;Викторович;28/05/1969;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Багаряков;Алексей;Владимирович;31/12/1972;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по финансовому рынку;26/03/2008;
Багдасаров;Семен;Аркадьевич;20/11/1954;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по международным делам;02/12/2007;
Балыхин;Григорий;Артёмович;19/11/1946;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по образованию;02/12/2007;
Банщиков;Михаил;Константинович;20/03/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по вопросам местного самоуправления;02/12/2007;
Баринов;Игорь;Вячеславович;22/05/1968;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;http://www.ivbarinov.ru/
Баскаев;Аркадий;Георгиевич;12/08/1946;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по делам национальностей | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;
Беднов;Александр;Викторович;14/11/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по вопросам семьи, женщин и детей;02/12/2007;
Белоконев;Сергей;Юрьевич;20/07/1977;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по делам молодежи;02/12/2007;
Беляков;Антон;Владимирович;18/10/1972;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Берестов;Александр;Павлович;16/09/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по аграрным вопросам;02/12/2007;
Бесчетнов;Константин;Викторович;21/05/1975;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;http://www.kbeschetnov.ru/
Бобырев;Валентин;Васильевич;23/11/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;http://bobyrev.ru/
Богомолов;Валерий;Николаевич;8/01/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по международным делам;02/12/2007;http://www.vbogomolov.ru/
Богомольный;Евгений;Исаакович;29/12/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по собственности;02/12/2007;
Богуславский;Ирек;Борисович;9/09/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Борзова;Ольга;Георгиевна;1/01/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по охране здоровья;02/12/2007;
Борисовец;Юрий;Львович;30/01/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Борцов;Николай;Иванович;8/05/1945;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по аграрным вопросам;02/12/2007;
Бочаров;Андрей;Иванович;14/10/1969;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам ветеранов;02/12/2007;
Бударин;Николай;Михайлович;29/04/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по науке и наукоемким технологиям | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Булаев;Николай;Иванович;1/09/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по науке и наукоемким технологиям;02/04/2010;
Бурков;Александр;Леонидович;23/04/1967;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Бурносов;Александр;Леонидович;30/07/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Бурыкина;Наталья;Викторовна;20/08/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Валенчук;Олег;Дорианович;14/09/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;http://www.olegvalenchuk.ru/
Варшавский;Вадим;Евгеньевич;30/04/1961;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по промышленности;02/12/2007;
Васильев;Владимир;Абдуалиевич;11/08/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по безопасности;02/12/2007;http://www.vladimirvasilyev.ru/
Васильев;Юрий;Викторович;1/05/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по бюджету и налогам | Сопредседатель Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Вахаев;Хож;Магомед;1/05/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по безопасности;02/12/2007;
Ветров;Константин;Владимирович;30/12/1962;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Водолацкий;Виктор;Петрович;19/08/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по безопасности;02/12/2007;
Войтенко;Виктор;Петрович;24/04/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;http://www.voitenko.ru/
Волков;Алексей;Николаевич;29/01/1945;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комиссии ГД по законодательному обеспечению противодействия коррупции | Член Комитета ГД по безопасности | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Волков;Юрий;Николаевич;19/09/1954;"""Единая Россия""";"Заместитель руководителя фракции ""Единая Россия""";Заместитель Председателя ГД | Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Володин;Вячеслав;Викторович;4/02/1964;"""Единая Россия""";"Заместитель руководителя фракции ""Единая Россия""";Заместитель Председателя ГД | Член Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;
Воложинская;Татьяна;Львовна;6/05/1969;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по бюджету и налогам | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Волчек;Денис;Геннадьевич;10/05/1971;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по финансовому рынку;02/12/2007;
Воробьев;Андрей;Юрьевич;14/04/1970;"""Единая Россия""";"Заместитель руководителя фракции ""Единая Россия""";Член Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Воронова;Татьяна;Геннадьевна;30/03/1975;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по конституционному законодательству и государственному строительству;02/12/2007;
Востротин;Валерий;Александрович;20/11/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по безопасности;02/12/2007;
Вторыгина;Елена;Андреевна;17/08/1957;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по вопросам семьи, женщин и детей;02/12/2007;
Вяткин;Дмитрий;Федорович;21/05/1974;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;
Габдрахманов;Ильдар;Нуруллович;4/11/1974;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по труду и социальной политике;02/12/2007;http://www.duma.gov.ru/gabdrakhmanov/
Гаврилов;Сергей;Анатольевич;27/01/1966;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комитета ГД по транспорту;02/12/2007;
Гаджиев;Магомед;Тажудинович;7/04/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Гайнуллина;Фарида;Исмагиловна;28/03/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Счетной комиссии ГД | Заместитель председателя Комитета ГД по труду и социальной политике;02/12/2007;
Гальцова;Ольга;Дмитриевна;27/04/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;
Гальченко;Валерий;Владимирович;15/08/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Гартунг;Валерий;Карлович;12/11/1960;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;http://www.gartung.ru/
Гасанов;Джамаладин;Набиевич;5/08/1964;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по собственности;02/12/2007;
Гасанов;Магомедкади;Набиевич;21/11/1962;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комиссии ГД по мандатным вопросам и вопросам депутатской этики | Член Комитета ГД по науке и наукоемким технологиям;02/12/2007;
Герасименко;Николай;Федорович;1/12/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по охране здоровья;02/12/2007;http://www.duma.gov.ru/gerasimenko/
Герасимова;Надежда;Васильевна;22/03/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель Председателя ГД | Член Комитета ГД по труду и социальной политике;02/12/2007;
Гильмутдинов;Ильдар;Ирекович;3/09/1962;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по физической культуре и спорту;02/12/2007;
Гималетдинов;Ильдар;Мансурович;24/07/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Гималов;Рафаэль;Имамович;9/08/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;http://www.gimalov.ru/
Гладилин;Валерий;Павлович;19/10/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;21/01/2008;
Глубоковская;Эльмира;Гусейновна;20/04/1957;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по охране здоровья;02/12/2007;http://www.glubokovskaya.ru/
Говорухин;Станислав;Сергеевич;29/03/1936;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Голиков;Георгий;Георгиевич;10/04/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по вопросам местного самоуправления;02/12/2007;
Головнёв;Владимир;Александрович;25/01/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по экономической политике и предпринимательству;02/12/2007;http://www.golovnev.ru/
Голушко;Андрей;Иванович;1/12/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием | Заместитель председателя Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Гольдштейн;Ростислав;Эрнстович;15/03/1969;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по проблемам Севера и Дальнего Востока;02/12/2007;http://www.goldstein.ru/
Гончар;Николай;Николаевич;18/10/1946;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;http://www.duma.gov.ru/gonchar/
Горбачев;Владимир;Лукич;29/07/1950;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;http://www.vl-g.ru/
Горькова;Ирина;Петровна;18/09/1959;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по делам национальностей;02/12/2007;
Горячева;Светлана;Петровна;3/06/1947;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Заместитель руководителя фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;http://www.duma.gov.ru/goryacheva/
Гостев;Руслан;Георгиевич;11/01/1945;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по физической культуре и спорту | Член Счетной комиссии ГД;02/12/2007;
Грачёв;Иван;Дмитриевич;19/02/1952;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по энергетике;02/12/2007;http://www.grachev.ru/
Гребенкин;Олег;Анатольевич;11/08/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по строительству и земельным отношениям | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Грешневиков;Анатолий;Николаевич;29/08/1956;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по аграрным вопросам;02/12/2007;
Гридин;Владимир;Григорьевич;8/12/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по транспорту;02/12/2007;
Гришанков;Михаил;Игнатьевич;16/02/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по безопасности | Сопредседатель Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;http://www.grishankov.ru/
Груздев;Владимир;Сергеевич;6/02/1967;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по гражданскому, уголовному, арбитражному и процессуальному законодательству;02/12/2007;http://www.gruzdev.ru/
Грызлов;Борис;Вячеславович;15/12/1950;"""Единая Россия""";"Руководитель фракции ""Единая Россия""";Председатель ГД;02/12/2007;
Губайдуллин;Ринат;Шайхуллович;21/06/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по бюджету и налогам;02/12/2007;
Губкин;Анатолий;Алексеевич;5/01/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комиссии ГД по мандатным вопросам и вопросам депутатской этики | Член Комитета ГД по финансовому рынку;02/12/2007;
Гудков;Геннадий;Владимирович;15/08/1956;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Заместитель руководителя фракции ""Справедливая Россия""";Заместитель председателя Комитета ГД по безопасности | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;http://www.gudkov.ru/
Гужвин;Петр;Анатольевич;5/08/1973;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по собственности;02/12/2007;
Гуляев;Руслан;Александрович;;"""Единая Россия""";"Член фракции ""Единая Россия""";;07/07/2010;
Гуров;Александр;Иванович;17/11/1945;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комиссии ГД по мандатным вопросам и вопросам депутатской этики | Член Комитета ГД по безопасности;02/12/2007;
Давитиашвили;Денис;Александрович;17/05/1974;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по промышленности;30/04/2008;
Дедов;Виктор;Михайлович;16/04/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по вопросам семьи, женщин и детей;02/12/2007;
Делимханов;Адам;Султанович;25/09/1969;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Демченко;Иван;Иванович;27/09/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Денисенко;Олег;Иванович;15/04/1962;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комитета ГД по безопасности | Член Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием;02/12/2007;
Денисов;Валентин;Петрович;1/07/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по аграрным вопросам;02/12/2007;
Дмитриева;Оксана;Генриховна;3/04/1958;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Первый заместитель руководителя фракции ""Справедливая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Драганов;Валерий;Гаврилович;22/04/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по промышленности | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;http://www.draganov.ru/
Драпеко;Елена;Григорьевна;29/10/1948;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Первый заместитель председателя Комитета ГД по культуре;02/12/2007;http://www.duma.gov.ru/drapeko/
Друсинов;Валентин;Дмитриевич;5/04/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Дубровин;Вячеслав;Анатольевич;1/01/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по транспорту;02/12/2007;
